IDTime;ReadableTime;High;Low;Close;BarType;HAType;BBSignal;BBBreakoutSignal;StochMain;StochSignal;MarketMov;LabelStrategy
946857600;2000.01.03 00:00;1.6212;1.6138;1.6209;1;1;2;0;52.04819;40.57775;0;0
946872000;2000.01.03 04:00;1.6211;1.6196;1.6205;4;1;2;0;60.70588;50.83572;0;0
946886400;2000.01.03 08:00;1.6213;1.6162;1.6173;2;4;0;0;67.12644;59.96017;0;0
946900800;2000.01.03 12:00;1.6205;1.615;1.6187;4;4;0;0;73.08584999999999;66.97272;0;0
946915200;2000.01.03 16:00;1.6347;1.618;1.6333;3;1;2;0;87.18411999999999;75.7988;0;0
946929600;2000.01.03 20:00;1.64;1.6325;1.6361;1;1;2;0;91.59892000000001;83.95629;0;0
946944000;2000.01.04 00:00;1.6368;1.6339;1.6351;4;1;2;0;91.6763;90.15311;0;0
946958400;2000.01.04 04:00;1.6361;1.6327;1.6339;4;1;0;0;90.91826;91.39783;0;0
946972800;2000.01.04 08:00;1.6402;1.631;1.6385;1;1;0;0;95.25483;92.61647000000001;0;0
946987200;2000.01.04 12:00;1.6415;1.6351;1.6363;4;1;2;0;95.78125;93.98478;0;0
947001600;2000.01.04 16:00;1.6395;1.6346;1.6374;4;4;2;0;94.9923;95.34278999999999;0;2
947016000;2000.01.04 20:00;1.6382;1.634;1.6373;4;4;2;0;94.02173999999999;94.93176;0;2
947030400;2000.01.05 00:00;1.6385;1.6354;1.6371;4;4;1;0;93.64706;94.22036;0;2
947044800;2000.01.05 04:00;1.6393;1.6367;1.6385;4;4;2;0;94.71799;94.12893;0;2
947059200;2000.01.05 08:00;1.645;1.6379;1.641;4;1;2;0;93.8349;94.06665;0;2
947073600;2000.01.05 12:00;1.6419;1.6376;1.6419;4;4;2;0;95.51515000000001;94.68935;0;2
947088000;2000.01.05 16:00;1.6439;1.6378;1.643;4;4;0;0;96.30682;95.21896;0;0
947102400;2000.01.05 20:00;1.6438;1.6404;1.6419;4;4;0;0;95.52773000000001;95.78323;0;2
947116800;2000.01.06 00:00;1.6452;1.6411;1.6435;4;4;2;0;97.45958;96.43138;0;2
947131200;2000.01.06 04:00;1.6461;1.6431;1.6444;4;1;2;0;97.57709;96.8548;0;2
947145600;2000.01.06 08:00;1.6469;1.6417;1.6467;4;4;2;0;97.70355000000001;97.58008;0;2
947160000;2000.01.06 12:00;1.6511;1.6452;1.6489;4;1;2;0;97.87233999999999;97.71766;0;2
947174400;2000.01.06 16:00;1.6504;1.6442;1.6468;4;4;2;0;93.96226;96.51272;0;2
947188800;2000.01.06 20:00;1.6485;1.6461;1.647;4;4;2;0;92.61993;94.81818;0;2
