IDTime;Class
946857600;buy
946872000;sell
946886400;sell
946900800;sell
946915200;sell
946929600;sell
946944000;sell
946958400;sell
946972800;sell
946987200;buy
947001600;sell
947016000;sell
947030400;sell
947044800;sell
947059200;buy
947073600;buy
947088000;sell
947102400;sell
947116800;sell
947131200;buy
947145600;sell
947160000;buy
947174400;sell
947188800;buy
947203200;buy
947217600;buy
947232000;buy
947246400;stay
947260800;stay
947275200;buy
947462400;buy
947476800;buy
947491200;stay
947505600;stay
947520000;stay
947534400;sell
947548800;sell
947563200;stay
947577600;buy
947592000;stay
947606400;stay
947620800;stay
947635200;sell
947649600;buy
947664000;buy
947678400;stay
947692800;stay
947707200;stay
947721600;buy
947736000;buy
947750400;buy
947764800;stay
947779200;stay
947793600;stay
947808000;buy
947822400;buy
947836800;buy
947851200;buy
947865600;stay
947880000;stay
948067200;buy
948081600;buy
948096000;buy
948110400;sell
948124800;stay
948139200;stay
948153600;sell
948168000;sell
948182400;sell
948196800;sell
948211200;stay
948225600;buy
948240000;buy
948254400;buy
948268800;stay
948283200;stay
948297600;stay
948312000;buy
948326400;buy
948340800;sell
948355200;sell
948369600;sell
948384000;stay
948398400;stay
948412800;buy
948427200;buy
948441600;buy
948456000;buy
948470400;buy
948484800;buy
948672000;buy
948686400;stay
948700800;buy
948715200;sell
948729600;sell
948744000;stay
948758400;buy
948772800;buy
948787200;buy
948801600;stay
948816000;stay
948830400;sell
948844800;stay
948859200;stay
948873600;stay
948888000;stay
948902400;stay
948916800;stay
948931200;buy
948945600;buy
948960000;buy
948974400;buy
948988800;stay
949003200;buy
949017600;stay
949032000;buy
949046400;buy
949060800;buy
949075200;sell
949089600;sell
949276800;stay
949291200;buy
949305600;buy
949320000;buy
949334400;stay
949348800;stay
949363200;sell
949377600;sell
949392000;sell
949406400;buy
949420800;stay
949435200;stay
949449600;sell
949464000;buy
949478400;sell
949492800;sell
949507200;buy
949521600;buy
949536000;sell
949550400;sell
949564800;sell
949579200;sell
949593600;stay
949608000;sell
949622400;sell
949636800;buy
949651200;buy
949665600;sell
949680000;stay
949694400;stay
949881600;buy
949896000;buy
949910400;buy
949924800;sell
949939200;stay
949953600;sell
949968000;sell
949982400;sell
949996800;stay
950011200;stay
950025600;stay
950040000;sell
950054400;sell
950068800;sell
950083200;sell
950097600;buy
950112000;stay
950126400;stay
950140800;buy
950155200;buy
950169600;buy
950184000;buy
950198400;stay
950212800;stay
950227200;buy
950241600;buy
950256000;buy
950270400;sell
950284800;sell
950299200;stay
950486400;sell
950500800;buy
950515200;buy
950529600;buy
950544000;stay
950558400;stay
950572800;stay
950587200;sell
950601600;sell
950616000;sell
950630400;stay
950644800;stay
950659200;sell
950673600;sell
950688000;sell
950702400;stay
950716800;stay
950731200;sell
950745600;sell
950760000;sell
950774400;buy
950788800;buy
950803200;stay
950817600;stay
950832000;buy
950846400;buy
950860800;buy
950875200;sell
950889600;stay
950904000;stay
951091200;stay
951105600;stay
951120000;stay
951134400;sell
951148800;sell
951163200;sell
951177600;sell
951192000;sell
951206400;sell
951220800;sell
951235200;stay
951249600;stay
951264000;stay
951278400;buy
951292800;buy
951307200;buy
951321600;stay
951336000;buy
951350400;buy
951364800;buy
951379200;buy
951393600;stay
951408000;buy
951422400;buy
951436800;buy
951451200;buy
951465600;buy
951480000;buy
951494400;buy
951508800;buy
951696000;sell
951710400;sell
951724800;sell
951739200;sell
951753600;buy
951768000;sell
951782400;sell
951796800;sell
951811200;buy
951825600;buy
951840000;sell
951854400;sell
951868800;sell
951883200;sell
951897600;sell
951912000;sell
951926400;buy
951940800;sell
951955200;sell
951969600;sell
951984000;buy
951998400;buy
952012800;buy
952027200;sell
952041600;sell
952056000;buy
952070400;buy
952084800;buy
952099200;buy
952113600;sell
952300800;sell
952315200;sell
952329600;buy
952344000;stay
952358400;stay
952372800;sell
952387200;stay
952401600;buy
952416000;buy
952430400;sell
952444800;sell
952459200;stay
952473600;buy
952488000;buy
952502400;sell
952516800;sell
952531200;stay
952545600;sell
952560000;stay
952574400;sell
952588800;sell
952603200;sell
952617600;stay
952632000;stay
952646400;buy
952660800;buy
952675200;buy
952689600;stay
952704000;stay
952718400;sell
952905600;sell
952920000;sell
952934400;buy
952948800;buy
952963200;stay
952977600;stay
952992000;buy
953006400;buy
953020800;sell
953035200;buy
953049600;stay
953064000;buy
953078400;stay
953092800;stay
953107200;sell
953121600;stay
953136000;buy
953150400;sell
953164800;sell
953179200;sell
953193600;sell
953208000;sell
953222400;stay
953236800;buy
953251200;buy
953265600;buy
953280000;sell
953294400;sell
953308800;stay
953323200;stay
953510400;stay
953524800;stay
953539200;stay
953553600;sell
953568000;stay
953582400;stay
953596800;stay
953611200;buy
953625600;buy
953640000;buy
953654400;buy
953668800;stay
953683200;stay
953697600;stay
953712000;stay
953726400;stay
953740800;stay
953755200;stay
953769600;sell
953784000;sell
953798400;sell
953812800;sell
953827200;stay
953841600;stay
953856000;sell
953870400;sell
953884800;sell
953899200;sell
953913600;stay
953928000;buy
954115200;buy
954129600;buy
954144000;buy
954158400;buy
954172800;stay
954187200;stay
954201600;stay
954216000;buy
954230400;buy
954244800;buy
954259200;buy
954273600;buy
954288000;stay
954302400;buy
954316800;buy
954331200;buy
954345600;stay
954360000;sell
954374400;sell
954388800;sell
954403200;sell
954417600;sell
954432000;stay
954446400;buy
954460800;buy
954475200;buy
954489600;stay
954504000;stay
954518400;buy
954532800;buy
954720000;sell
954734400;sell
954748800;sell
954763200;sell
954777600;stay
954792000;sell
954806400;buy
954820800;sell
954835200;sell
954849600;sell
954864000;buy
954878400;sell
954892800;sell
954907200;sell
954921600;sell
954936000;buy
954950400;stay
954964800;stay
954979200;stay
954993600;stay
955008000;stay
955022400;buy
955036800;stay
955051200;stay
955065600;sell
955080000;sell
955094400;buy
955108800;sell
955123200;stay
955137600;stay
955324800;sell
955339200;sell
955353600;sell
955368000;stay
955382400;stay
955396800;stay
955411200;stay
955425600;buy
955440000;buy
955454400;buy
955468800;stay
955483200;stay
955497600;buy
955512000;buy
955526400;buy
955540800;buy
955555200;sell
955569600;stay
955584000;buy
955598400;buy
955612800;buy
955627200;buy
955641600;stay
955656000;stay
955670400;sell
955684800;sell
955699200;sell
955713600;sell
955728000;sell
955742400;sell
955929600;buy
955944000;buy
955958400;buy
955972800;buy
955987200;buy
956001600;buy
956016000;buy
956030400;buy
956044800;buy
956059200;buy
956073600;buy
956088000;sell
956102400;sell
956116800;buy
956131200;buy
956145600;buy
956160000;stay
956174400;buy
956188800;buy
956203200;buy
956217600;buy
956232000;stay
956246400;stay
956260800;stay
956275200;stay
956289600;stay
956304000;stay
956318400;stay
956332800;stay
956347200;stay
956534400;sell
956548800;sell
956563200;sell
956577600;buy
956592000;stay
956606400;stay
956620800;buy
956635200;buy
956649600;buy
956664000;buy
956678400;stay
956692800;buy
956707200;sell
956721600;buy
956736000;stay
956750400;stay
956764800;stay
956779200;buy
956793600;buy
956808000;buy
956822400;sell
956836800;buy
956851200;stay
956865600;stay
956880000;sell
956894400;sell
956908800;sell
956923200;sell
956937600;stay
956952000;buy
957139200;sell
957153600;sell
957168000;sell
957182400;sell
957196800;stay
957211200;buy
957225600;buy
957240000;buy
957254400;buy
957268800;buy
957283200;sell
957297600;buy
957312000;buy
957326400;buy
957340800;buy
957355200;sell
957369600;buy
957384000;buy
957398400;sell
957412800;buy
957427200;sell
957441600;buy
957456000;stay
957470400;sell
957484800;sell
957499200;sell
957513600;sell
957528000;buy
957542400;sell
957556800;sell
957744000;buy
957758400;sell
957772800;buy
957787200;sell
957801600;stay
957816000;sell
957830400;sell
957844800;sell
957859200;sell
957873600;sell
957888000;stay
957902400;stay
957916800;sell
957931200;stay
957945600;buy
957960000;buy
957974400;buy
957988800;sell
958003200;sell
958017600;sell
958032000;buy
958046400;buy
958060800;stay
958075200;stay
958089600;sell
958104000;sell
958118400;sell
958132800;sell
958147200;sell
958161600;buy
958348800;buy
958363200;buy
958377600;buy
958392000;buy
958406400;buy
958420800;stay
958435200;stay
958449600;stay
958464000;buy
958478400;buy
958492800;buy
958507200;buy
958521600;buy
958536000;buy
958550400;buy
958564800;buy
958579200;stay
958593600;buy
958608000;buy
958622400;buy
958636800;stay
958651200;buy
958665600;stay
958680000;stay
958694400;buy
958708800;sell
958723200;sell
958737600;sell
958752000;stay
958766400;stay
958953600;sell
958968000;sell
958982400;sell
958996800;sell
959011200;buy
959025600;sell
959040000;sell
959054400;sell
959068800;buy
959083200;buy
959097600;sell
959112000;stay
959126400;sell
959140800;sell
959155200;buy
959169600;sell
959184000;buy
959198400;stay
959212800;buy
959227200;sell
959241600;sell
959256000;sell
959270400;sell
959284800;sell
959299200;sell
959313600;sell
959328000;sell
959342400;sell
959356800;buy
959558400;buy
959572800;buy
959587200;stay
959601600;stay
959616000;stay
959630400;sell
959644800;sell
959659200;sell
959673600;buy
959688000;buy
959702400;stay
959716800;sell
959731200;buy
959745600;sell
959760000;sell
959774400;sell
959788800;stay
959803200;buy
959817600;buy
959832000;buy
959846400;stay
959860800;sell
959875200;stay
959889600;sell
959904000;sell
959918400;sell
959932800;sell
959947200;buy
959961600;sell
959976000;stay
960163200;stay
960177600;stay
960192000;sell
960206400;sell
960220800;stay
960235200;sell
960249600;sell
960264000;sell
960278400;sell
960292800;buy
960307200;stay
960321600;sell
960336000;sell
960350400;sell
960364800;sell
960379200;sell
960393600;stay
960408000;stay
960422400;sell
960436800;sell
960451200;sell
960465600;buy
960480000;stay
960494400;stay
960508800;buy
960523200;buy
960537600;buy
960552000;sell
960566400;stay
960580800;buy
960768000;sell
960782400;sell
960796800;stay
960811200;stay
960825600;stay
960840000;sell
960854400;sell
960868800;sell
960883200;sell
960897600;stay
960912000;stay
960926400;sell
960940800;sell
960955200;buy
960969600;buy
960984000;stay
960998400;stay
961012800;buy
961027200;sell
961041600;buy
961056000;sell
961070400;stay
961084800;stay
961099200;sell
961113600;sell
961128000;sell
961142400;sell
961156800;sell
961171200;stay
961185600;stay
961372800;buy
961387200;buy
961401600;buy
961416000;buy
961430400;stay
961444800;sell
961459200;sell
961473600;sell
961488000;sell
961502400;buy
961516800;buy
