IDTime;ReadableTime;High;Low;Close;BarType;HAType;BBSignal;BBBreakoutSignal;StochMain;StochSignal;MarketMov;LabelStrategy
946857600;2000.01.03 00:00;1.019;1.0073;1.0175;1;1;2;0;84.57584;84.77898;0;0
946872000;2000.01.03 04:00;1.0181;1.0154;1.0157;4;1;2;0;84.83516;83.137;0;0
946886400;2000.01.03 08:00;1.0167;1.0093;1.0115;2;4;0;0;78.31094;82.57398000000001;0;0
946900800;2000.01.03 12:00;1.0118;1.0054;1.0073;2;2;0;0;62.99484;75.38030999999999;0;0
946915200;2000.01.03 16:00;1.024;1.007;1.0218;3;1;2;0;69.29825;70.20134;0;0
946929600;2000.01.03 20:00;1.0278;1.0213;1.0246;1;1;2;0;77.91410999999999;70.06905999999999;0;0
946944000;2000.01.04 00:00;1.0266;1.0233;1.0241;4;1;2;0;78.56314999999999;75.2585;0;0
946958400;2000.01.04 04:00;1.0266;1.0227;1.0241;4;1;0;0;81.58458;79.35395;0;0
946972800;2000.01.04 08:00;1.0279;1.0213;1.0276;1;1;2;0;89.17874;83.10883;0;0
946987200;2000.01.04 12:00;1.0336;1.0263;1.0326;1;1;2;0;99.14894;89.97075;0;0
947001600;2000.01.04 16:00;1.034;1.0268;1.0281;2;1;2;0;95.67610000000001;94.66793;0;0
947016000;2000.01.04 20:00;1.0314;1.0278;1.0292;4;4;2;0;93.36315999999999;96.06273;0;2
947030400;2000.01.05 00:00;1.03;1.0284;1.0292;4;4;0;0;91.63121;93.55682;0;0
947044800;2000.01.05 04:00;1.033;1.0286;1.0317;1;4;0;0;90.85457;91.94965000000001;0;0
947059200;2000.01.05 08:00;1.0402;1.0309;1.037;1;1;2;0;90.23219;90.90599;0;0
947073600;2000.01.05 12:00;1.0389;1.0338;1.0371;4;1;2;0;89.16519;90.08398;0;0
947088000;2000.01.05 16:00;1.0379;1.0314;1.033;2;4;0;0;88.23529000000001;89.21089000000001;0;0
947102400;2000.01.05 20:00;1.0332;1.0301;1.0326;4;2;1;0;84.73372999999999;87.37806999999999;0;0
947116800;2000.01.06 00:00;1.0336;1.031;1.0318;4;4;1;0;78.29912;83.75605;0;0
947131200;2000.01.06 04:00;1.0382;1.0315;1.0364;1;4;2;0;78.01205;80.34829999999999;0;0
947145600;2000.01.06 08:00;1.0368;1.0327;1.0352;4;4;2;0;73.12703999999999;76.4794;0;0
947160000;2000.01.06 12:00;1.0415;1.0349;1.0366;4;1;2;0;69.80462;73.64790000000001;0;0
947174400;2000.01.06 16:00;1.0368;1.0272;1.0299;2;2;1;0;60.19802;67.70989;0;0
947188800;2000.01.06 20:00;1.0334;1.029;1.033;1;2;1;0;59.12863;63.04376;0;0
947203200;2000.01.07 00:00;1.0332;1.0295;1.0304;4;4;1;0;54.52586;57.95084;0;0
947217600;2000.01.07 04:00;1.0324;1.0288;1.0293;4;4;0;0;38.03132;50.56194;0;0
947232000;2000.01.07 08:00;1.0323;1.0283;1.0306;4;4;1;0;27.89116;40.14945;0;0
947246400;2000.01.07 12:00;1.0315;1.026;1.0288;4;4;1;0;11.13636;25.68628;0;0
947260800;2000.01.07 16:00;1.0313;1.028;1.0289;4;4;1;0;11.21076;16.74609;0;0
947275200;2000.01.07 20:00;1.03;1.0272;1.0298;4;4;1;0;6.41593;9.58769;0;0
947462400;2000.01.10 00:00;1.0305;1.0274;1.0289;4;4;1;0;5.45852;7.69507;0;0
947476800;2000.01.10 04:00;1.0298;1.0272;1.0273;4;4;1;0;5.65611;5.84352;0;0
947491200;2000.01.10 08:00;1.0282;1.0231;1.0247;2;2;1;0;2.65487;4.58983;0;0
947505600;2000.01.10 12:00;1.0249;1.0211;1.0242;4;2;1;0;2.73973;3.68357;0;0
947520000;2000.01.10 16:00;1.0275;1.0234;1.0269;1;4;1;0;8.962260000000001;4.78562;0;1
947534400;2000.01.10 20:00;1.0271;1.0246;1.0251;4;4;0;0;9.02439;6.90879;0;0
947548800;2000.01.11 00:00;1.027;1.0246;1.0259;4;4;0;0;13.65979;10.54882;0;0
947563200;2000.01.11 04:00;1.0296;1.0257;1.0295;1;4;0;0;27.39018;16.69145;0;0
947577600;2000.01.11 08:00;1.0318;1.0279;1.0301;4;1;2;0;45.45455;28.83484;0;0
947592000;2000.01.11 12:00;1.0308;1.0253;1.0285;4;4;2;0;58.10056;43.64843;0;0
947606400;2000.01.11 16:00;1.0335;1.0282;1.0315;1;4;2;0;69.20981;57.5883;0;0
947620800;2000.01.11 20:00;1.0341;1.0309;1.0336;4;1;2;0;85.39042999999999;70.90027000000001;0;0
947635200;2000.01.12 00:00;1.0338;1.0319;1.0328;4;1;2;0;93.7931;82.79778;0;0
947649600;2000.01.12 04:00;1.0356;1.0323;1.0332;4;4;2;0;93.96552;91.04968;0;0
947664000;2000.01.12 08:00;1.037;1.0321;1.0335;4;4;2;0;94.08163;93.94674999999999;0;0
947678400;2000.01.12 12:00;1.0338;1.0275;1.0302;2;2;1;0;90.74803;92.93173;0;2
947692800;2000.01.12 16:00;1.0313;1.0261;1.0308;4;2;1;0;84.56789999999999;89.79919;0;0
947707200;2000.01.12 20:00;1.032;1.0306;1.0308;4;4;1;0;76.74944000000001;84.02179;0;0
947721600;2000.01.13 00:00;1.0316;1.0293;1.0304;4;4;0;0;68.25;76.52245000000001;0;0
947736000;2000.01.13 04:00;1.0305;1.0278;1.0293;4;4;1;0;53.63128;66.21024;0;0
947750400;2000.01.13 08:00;1.0308;1.0281;1.0302;4;4;1;0;37.02532;52.96887;0;0
947764800;2000.01.13 12:00;1.0305;1.0237;1.0264;2;2;1;0;23.87097;38.17586;0;0
947779200;2000.01.13 16:00;1.0281;1.0249;1.0259;4;2;1;0;15.22388;25.37339;0;0
947793600;2000.01.13 20:00;1.0265;1.0252;1.026;4;4;1;0;8.05556;15.7168;0;0
947808000;2000.01.14 00:00;1.0275;1.0235;1.026;4;4;1;0;3.07263;8.78402;0;0
