IDTime;Class
946857600;stay
946872000;buy
946886400;buy
946900800;buy
946915200;stay
946929600;stay
946944000;stay
946958400;buy
946972800;stay
946987200;stay
947001600;stay
947016000;buy
947030400;buy
947044800;stay
947059200;stay
947073600;stay
947088000;stay
947102400;stay
947116800;buy
947131200;stay
947145600;stay
947160000;stay
947174400;stay
947188800;stay
947203200;stay
947217600;sell
947232000;sell
947246400;stay
947260800;stay
947275200;stay
947462400;stay
947476800;stay
947491200;stay
947505600;stay
947520000;stay
947534400;buy
947548800;buy
947563200;buy
947577600;stay
947592000;stay
947606400;stay
947620800;stay
947635200;stay
947649600;stay
947664000;stay
947678400;stay
947692800;stay
947707200;stay
947721600;stay
947736000;stay
947750400;stay
947764800;stay
947779200;stay
947793600;stay
947808000;stay
947822400;sell
947836800;sell
947851200;sell
947865600;stay
947880000;stay
948067200;stay
948081600;sell
948096000;stay
948110400;stay
948124800;stay
948139200;stay
948153600;stay
948168000;stay
948182400;stay
948196800;stay
948211200;stay
948225600;stay
948240000;stay
948254400;buy
948268800;buy
948283200;stay
948297600;stay
948312000;stay
948326400;stay
948340800;buy
948355200;buy
948369600;buy
948384000;stay
948398400;stay
948412800;stay
948427200;stay
948441600;sell
948456000;stay
948470400;stay
948484800;stay
948672000;buy
948686400;stay
948700800;stay
948715200;stay
948729600;stay
948744000;sell
948758400;sell
948772800;sell
948787200;stay
948801600;stay
948816000;sell
948830400;stay
948844800;stay
948859200;sell
948873600;sell
948888000;sell
948902400;stay
948916800;stay
948931200;stay
948945600;stay
948960000;stay
948974400;stay
948988800;stay
949003200;sell
949017600;sell
949032000;sell
949046400;sell
949060800;sell
949075200;stay
949089600;stay
949276800;stay
949291200;sell
949305600;sell
949320000;stay
949334400;stay
949348800;stay
949363200;stay
949377600;stay
949392000;stay
949406400;stay
949420800;stay
949435200;stay
949449600;sell
949464000;sell
949478400;sell
949492800;stay
949507200;stay
949521600;sell
949536000;sell
949550400;sell
949564800;sell
949579200;buy
949593600;stay
949608000;sell
949622400;sell
949636800;sell
949651200;stay
949665600;stay
949680000;stay
949694400;buy
949881600;stay
949896000;buy
949910400;sell
949924800;buy
949939200;buy
949953600;buy
949968000;buy
949982400;buy
949996800;buy
950011200;stay
950025600;stay
950040000;stay
950054400;stay
950068800;buy
950083200;stay
950097600;stay
950112000;stay
950126400;sell
950140800;sell
950155200;sell
950169600;stay
950184000;stay
950198400;stay
950212800;sell
950227200;sell
950241600;sell
950256000;sell
950270400;sell
950284800;stay
950299200;stay
950486400;stay
950500800;sell
950515200;stay
950529600;sell
950544000;stay
950558400;stay
950572800;stay
950587200;buy
950601600;buy
950616000;buy
950630400;stay
950644800;stay
950659200;stay
950673600;buy
950688000;buy
950702400;buy
950716800;stay
950731200;stay
950745600;buy
950760000;buy
950774400;sell
950788800;sell
950803200;stay
950817600;stay
950832000;sell
950846400;sell
950860800;sell
950875200;stay
950889600;stay
950904000;stay
951091200;stay
951105600;stay
951120000;stay
951134400;stay
951148800;stay
951163200;buy
951177600;buy
951192000;buy
951206400;buy
951220800;stay
951235200;stay
951249600;stay
951264000;sell
951278400;sell
951292800;sell
951307200;stay
951321600;stay
951336000;stay
951350400;stay
951364800;stay
951379200;stay
951393600;stay
951408000;stay
951422400;stay
951436800;sell
951451200;sell
951465600;sell
951480000;sell
951494400;stay
951508800;sell
951696000;sell
951710400;sell
951724800;buy
951739200;buy
951753600;stay
951768000;stay
951782400;sell
951796800;sell
951811200;sell
951825600;stay
951840000;stay
951854400;stay
951868800;buy
951883200;buy
951897600;sell
951912000;buy
951926400;stay
951940800;stay
951955200;stay
951969600;sell
951984000;sell
951998400;stay
952012800;stay
952027200;stay
952041600;stay
952056000;stay
952070400;stay
952084800;stay
952099200;stay
952113600;stay
952300800;sell
952315200;sell
952329600;sell
952344000;stay
952358400;stay
952372800;stay
952387200;stay
952401600;buy
952416000;buy
952430400;buy
952444800;stay
952459200;stay
952473600;stay
952488000;stay
952502400;buy
952516800;buy
952531200;stay
952545600;stay
952560000;stay
952574400;stay
952588800;stay
952603200;stay
952617600;stay
952632000;stay
952646400;sell
952660800;sell
952675200;sell
952689600;stay
952704000;stay
952718400;stay
952905600;stay
952920000;stay
952934400;stay
952948800;stay
952963200;stay
952977600;sell
952992000;sell
953006400;stay
953020800;buy
953035200;stay
953049600;stay
953064000;stay
953078400;stay
953092800;stay
