IDTime;ReadableTime;High;Low;Close;BarType;HAType;BBSignal;BBBreakoutSignal;StochMain;StochSignal;MarketMov;LabelStrategy
946857600;2000.01.03 00:00;1.4465;1.4445;1.4455;4;2;0;0;18.72247;34.44607;0;0
946872000;2000.01.03 04:00;1.4463;1.445;1.4455;4;4;0;0;12.6177;21.80114;0;0
946886400;2000.01.03 08:00;1.4485;1.4438;1.444;4;4;2;0;6.37255;12.57091;0;0
946900800;2000.01.03 12:00;1.4457;1.4407;1.4426;4;2;1;0;5.76923;8.253159999999999;0;0
946915200;2000.01.03 16:00;1.4479;1.4422;1.4461;1;4;1;0;10.70912;7.61697;0;1
946929600;2000.01.03 20:00;1.4483;1.4451;1.4474;4;1;2;0;14.89362;10.45732;0;0
946944000;2000.01.04 00:00;1.448;1.4467;1.4471;4;4;2;0;21.06061;15.55445;0;0
946958400;2000.01.04 04:00;1.4477;1.4464;1.4469;4;4;0;0;28.54758;21.5006;0;0
946972800;2000.01.04 08:00;1.4482;1.4438;1.4462;4;4;0;0;38.76404;29.45741;0;0
946987200;2000.01.04 12:00;1.4513;1.4454;1.4496;1;4;2;0;58.07128;41.7943;0;0
947001600;2000.01.04 16:00;1.4536;1.4492;1.4523;1;1;2;0;75.33333;57.38955;0;0
947016000;2000.01.04 20:00;1.4536;1.4513;1.4528;4;1;2;0;91.60839;75.00433;0;0
947030400;2000.01.05 00:00;1.4539;1.4518;1.4536;4;1;0;0;96.42104999999999;87.78758999999999;0;0
947044800;2000.01.05 04:00;1.4543;1.4522;1.4541;4;4;0;0;97.63314;95.22086;0;0
947059200;2000.01.05 08:00;1.4561;1.4498;1.4503;2;4;0;0;92.93680000000001;95.66365999999999;0;2
947073600;2000.01.05 12:00;1.4532;1.4498;1.4521;4;4;1;0;89.39671;93.32222;0;0
947088000;2000.01.05 16:00;1.4545;1.451;1.4511;4;4;1;0;83.36484;88.56612;0;0
947102400;2000.01.05 20:00;1.4512;1.4483;1.4495;4;2;1;0;73.51779000000001;82.09311;0;0
947116800;2000.01.06 00:00;1.4507;1.4493;1.45;4;4;1;0;60.40724;72.42995999999999;0;0
947131200;2000.01.06 04:00;1.452;1.4492;1.4504;4;4;0;0;48.03922;60.65475;0;0
947145600;2000.01.06 08:00;1.4546;1.4504;1.4533;4;4;2;0;51.46667;53.30437;0;0
947160000;2000.01.06 12:00;1.4584;1.4527;1.4572;1;1;2;0;56.56836;52.02475;0;0
947174400;2000.01.06 16:00;1.4597;1.4556;1.4584;4;1;2;0;65.53525;57.85676;0;0
947188800;2000.01.06 20:00;1.4607;1.458;1.4603;4;1;0;0;79.12621;67.07661;0;0
947203200;2000.01.07 00:00;1.4611;1.4587;1.4587;4;1;0;0;87.13079999999999;77.26409;0;0
947217600;2000.01.07 04:00;1.461;1.4585;1.4607;4;4;0;0;95.55556;87.27086;0;0
947232000;2000.01.07 08:00;1.4613;1.4586;1.4603;4;4;0;0;96.69967;93.12868;0;0
947246400;2000.01.07 12:00;1.4617;1.458;1.4604;4;4;0;0;96.38365;96.21296;0;0
947260800;2000.01.07 16:00;1.4613;1.4565;1.4582;4;4;1;0;92.61538;95.2329;0;2
947275200;2000.01.07 20:00;1.4587;1.4556;1.4561;4;2;1;0;84.74026000000001;91.24643;0;2
947462400;2000.01.10 00:00;1.4575;1.4555;1.4571;4;4;1;0;79.42238;85.59268;0;2
947476800;2000.01.10 04:00;1.4585;1.4567;1.458;4;4;0;0;71.10656;78.42307;0;0
947491200;2000.01.10 08:00;1.4588;1.453;1.4541;2;4;1;0;54.0724;68.20045;0;0
947505600;2000.01.10 12:00;1.4559;1.453;1.4539;4;2;1;0;33.49876;52.89257;0;0
947520000;2000.01.10 16:00;1.4569;1.4536;1.455;4;4;0;0;18.47826;35.34981;0;0
947534400;2000.01.10 20:00;1.4566;1.4548;1.4554;4;4;0;0;15.32033;22.43245;0;0
947548800;2000.01.11 00:00;1.4571;1.4545;1.4556;4;4;2;0;16.40212;16.73357;0;0
947563200;2000.01.11 04:00;1.4565;1.4544;1.4545;4;4;2;0;13.06667;14.92971;0;0
947577600;2000.01.11 08:00;1.4568;1.4544;1.4558;4;4;2;0;19.42857;16.29912;0;1
947592000;2000.01.11 12:00;1.4593;1.4557;1.4564;4;4;2;0;28.79257;20.42927;0;1
