IDTime;ReadableTime;High;Low;Close;BarType;HAType;BBSignal;BBBreakoutSignal;StochMain;StochSignal;MarketMov;LabelStrategy
946857600;2000.01.03 00:00;1.5943;1.5755;1.578;3;2;1;0;7.59717;10.29804;0;0
946872000;2000.01.03 04:00;1.5824;1.5756;1.5811;1;2;1;0;9.155939999999999;9.58117;0;0
946886400;2000.01.03 08:00;1.5882;1.5804;1.5865;1;4;1;0;15.25215;10.66842;0;1
946900800;2000.01.03 12:00;1.598;1.5854;1.5953;1;1;2;0;32.70925;19.03911;0;0
946915200;2000.01.03 16:00;1.5959;1.5671;1.5704;3;2;1;0;27.24745;25.06962;0;0
946929600;2000.01.03 20:00;1.572;1.5616;1.5671;2;2;1;2;22.52533;27.49401;0;2
946944000;2000.01.04 00:00;1.5685;1.5641;1.5678;4;2;0;0;21.82891;23.86723;0;0
946958400;2000.01.04 04:00;1.5685;1.5636;1.5672;4;2;0;0;18.4083;20.92085;0;0
946972800;2000.01.04 08:00;1.5704;1.5595;1.5605;2;2;1;0;11.17974;17.13898;0;0
946987200;2000.01.04 12:00;1.5615;1.5502;1.5533;2;2;1;0;0.42895;10.00567;0;0
947001600;2000.01.04 16:00;1.5627;1.5518;1.5609;1;2;1;0;4.12776;5.24549;0;0
947016000;2000.01.04 20:00;1.5615;1.5553;1.5572;2;4;1;0;5.66298;3.40657;0;1
947030400;2000.01.05 00:00;1.5595;1.5555;1.5584;4;4;0;0;7.22944;5.67339;0;0
947044800;2000.01.05 04:00;1.559;1.5525;1.5537;2;2;0;0;7.73079;6.8744;0;0
947059200;2000.01.05 08:00;1.556;1.5424;1.5473;2;2;1;0;8.26848;7.7429;0;0
947073600;2000.01.05 12:00;1.5526;1.5447;1.5476;4;2;1;0;9.397069999999999;8.465450000000001;0;0
947088000;2000.01.05 16:00;1.5551;1.5454;1.5526;1;4;0;0;9.259259999999999;8.97494;0;0
947102400;2000.01.05 20:00;1.5571;1.552;1.5546;4;1;2;0;13.77246;10.80959;0;0
947116800;2000.01.06 00:00;1.5572;1.552;1.5548;4;4;2;0;19.77186;14.26786;0;0
947131200;2000.01.06 04:00;1.556;1.5448;1.547;2;2;1;0;20;17.84811;0;0
947145600;2000.01.06 08:00;1.5535;1.5465;1.5507;1;2;1;0;25.94187;21.90458;0;0
947160000;2000.01.06 12:00;1.5517;1.5429;1.5489;4;2;1;0;30.66826;25.53671;0;0
947174400;2000.01.06 16:00;1.5613;1.5484;1.5578;1;1;2;0;41.76707;32.7924;0;0
947188800;2000.01.06 20:00;1.5588;1.5507;1.553;2;1;2;0;41.58554;38.00695;0;0
947203200;2000.01.07 00:00;1.5592;1.5518;1.5572;1;4;2;0;47.178;43.5102;0;0
947217600;2000.01.07 04:00;1.5597;1.5543;1.5593;4;1;0;0;66.51852;51.76069;0;0
947232000;2000.01.07 08:00;1.5619;1.5562;1.5595;4;1;2;0;78.27988000000001;63.99213;0;0
947246400;2000.01.07 12:00;1.5667;1.5586;1.5626;1;1;2;0;92.58242;79.12694;0;0
947260800;2000.01.07 16:00;1.5641;1.5595;1.5626;4;1;2;0;93.04124;87.96785;0;0
947275200;2000.01.07 20:00;1.5656;1.5617;1.5646;4;1;2;0;99.27273;94.96545999999999;0;0
