IDTime;Class
946857600;stay
946872000;stay
946886400;stay
946900800;buy
946915200;buy
946929600;buy
946944000;stay
946958400;buy
946972800;stay
946987200;stay
947001600;stay
947016000;stay
947030400;buy
947044800;buy
947059200;buy
947073600;buy
947088000;buy
947102400;stay
947116800;stay
947131200;buy
947145600;buy
947160000;buy
947174400;stay
947188800;stay
947203200;stay
947217600;stay
947232000;buy
947246400;sell
947260800;stay
947275200;sell
947462400;stay
947476800;stay
947491200;buy
947505600;stay
947520000;stay
947534400;stay
947548800;buy
947563200;buy
947577600;stay
947592000;stay
947606400;stay
947620800;stay
947635200;stay
947649600;stay
947664000;stay
947678400;stay
947692800;stay
947707200;stay
947721600;stay
947736000;stay
947750400;stay
947764800;stay
947779200;stay
947793600;stay
947808000;sell
947822400;stay
947836800;stay
947851200;sell
947865600;sell
947880000;sell
948067200;stay
948081600;stay
948096000;stay
948110400;stay
948124800;stay
948139200;stay
948153600;stay
948168000;stay
948182400;stay
948196800;stay
948211200;stay
948225600;stay
948240000;stay
948254400;stay
948268800;sell
948283200;stay
948297600;stay
948312000;stay
948326400;stay
948340800;stay
948355200;stay
948369600;stay
948384000;stay
948398400;sell
948412800;stay
948427200;stay
948441600;stay
948456000;stay
948470400;stay
948484800;stay
948672000;buy
948686400;buy
948700800;buy
948715200;stay
948729600;stay
948744000;stay
948758400;stay
948772800;stay
948787200;stay
948801600;stay
948816000;stay
948830400;stay
948844800;stay
948859200;stay
948873600;stay
948888000;stay
948902400;stay
948916800;stay
948931200;sell
948945600;sell
948960000;sell
948974400;stay
948988800;stay
949003200;stay
949017600;stay
949032000;buy
949046400;buy
949060800;buy
949075200;stay
949089600;stay
949276800;stay
949291200;buy
949305600;buy
949320000;stay
949334400;stay
949348800;stay
949363200;stay
949377600;stay
949392000;stay
949406400;buy
949420800;buy
949435200;buy
949449600;stay
949464000;stay
949478400;stay
949492800;stay
949507200;stay
949521600;stay
949536000;buy
949550400;sell
949564800;sell
949579200;sell
949593600;stay
949608000;stay
949622400;stay
949636800;stay
949651200;stay
949665600;stay
949680000;stay
949694400;buy
949881600;buy
949896000;buy
949910400;stay
949924800;buy
949939200;buy
949953600;buy
949968000;stay
949982400;stay
949996800;stay
950011200;stay
950025600;sell
